Year,Region,group_1,group_2,group_12,group_label_21,group_label_22,group_13,group_14,Value
2015,,,,,,,,,
2016,,,,,,,,,
2017,,,,,,,,,
2018,,,,,,,,,
2019,,,,,,,,,
2020,,,,,,,,,
2021,,,,,,,,,
2022,,,,,,,,,
2023,,,,,,,,,
2024,,,,,,,,,
2015,autonomous_Republic_of_Crimea,,,,,,,,
2016,autonomous_Republic_of_Crimea,,,,,,,,
2017,autonomous_Republic_of_Crimea,,,,,,,,
2018,autonomous_Republic_of_Crimea,,,,,,,,
2019,autonomous_Republic_of_Crimea,,,,,,,,
2020,autonomous_Republic_of_Crimea,,,,,,,,
2021,autonomous_Republic_of_Crimea,,,,,,,,
2022,autonomous_Republic_of_Crimea,,,,,,,,
2023,autonomous_Republic_of_Crimea,,,,,,,,
2024,autonomous_Republic_of_Crimea,,,,,,,,
2015,11_reg_Vinnytsya,,,,,,,,
2016,11_reg_Vinnytsya,,,,,,,,
2017,11_reg_Vinnytsya,,,,,,,,
2018,11_reg_Vinnytsya,,,,,,,,
2019,11_reg_Vinnytsya,,,,,,,,
2020,11_reg_Vinnytsya,,,,,,,,
2021,11_reg_Vinnytsya,,,,,,,,
2022,11_reg_Vinnytsya,,,,,,,,
2023,11_reg_Vinnytsya,,,,,,,,
2024,11_reg_Vinnytsya,,,,,,,,
2015,12_reg_Volyn,,,,,,,,
2016,12_reg_Volyn,,,,,,,,
2017,12_reg_Volyn,,,,,,,,
2018,12_reg_Volyn,,,,,,,,
2019,12_reg_Volyn,,,,,,,,
2020,12_reg_Volyn,,,,,,,,
2021,12_reg_Volyn,,,,,,,,
2022,12_reg_Volyn,,,,,,,,
2023,12_reg_Volyn,,,,,,,,
2024,12_reg_Volyn,,,,,,,,
2015,13_reg_Dnipropetrovsk,,,,,,,,
2016,13_reg_Dnipropetrovsk,,,,,,,,
2017,13_reg_Dnipropetrovsk,,,,,,,,
2018,13_reg_Dnipropetrovsk,,,,,,,,
2019,13_reg_Dnipropetrovsk,,,,,,,,
2020,13_reg_Dnipropetrovsk,,,,,,,,
2021,13_reg_Dnipropetrovsk,,,,,,,,
2022,13_reg_Dnipropetrovsk,,,,,,,,
2023,13_reg_Dnipropetrovsk,,,,,,,,
2024,13_reg_Dnipropetrovsk,,,,,,,,
2015,14_reg_Donetsk,,,,,,,,711
